:id,ms,e_w,longitude,latitude,local_time,utc_date,source,heading,altitude,n_s,utc_time,track_id,index,lap_id,valid,local_date,speed
row-g96w.k83a-62pq,0,W,112.135541,33.843427,20:34:59,3/3/2015,GPS16,338.902914,514.907227,N,0:34:59,1,27,0,FIXED,3/2/2015,0.001405
row-jgj3-xmu4.pa3d,0,W,112.135541,33.843427,20:35:04,3/3/2015,GPS16,13.33937,514.911194,N,0:35:04,1,28,0,FIXED,3/2/2015,0.009402
row-37wa-utni~2z9b,0,W,112.135541,33.843427,20:35:09,3/3/2015,GPS16,36.074641,514.91803,N,0:35:09,1,29,0,FIXED,3/2/2015,0.011541
row-ij2v.uc7q-ame6,0,W,112.13554,33.843427,20:35:14,3/3/2015,GPS16,41.916057,514.926025,N,0:35:14,1,30,0,FIXED,3/2/2015,0.003988
row-66vw-829k-zr77,0,W,112.13554,33.843427,20:35:19,3/3/2015,GPS16,54.787374,514.934937,N,0:35:19,1,31,0,FIXED,3/2/2015,0.005202
row-cdfb-a2x7~s7ad,0,W,112.13554,33.843427,20:35:24,3/3/2015,GPS16,22.124582,514.944397,N,0:35:24,1,32,0,FIXED,3/2/2015,0.00486
row-z7c2_3cn3.zatp,0,W,112.13554,33.843427,20:35:29,3/3/2015,GPS16,346.715724,514.956543,N,0:35:29,1,33,0,FIXED,3/2/2015,0.014414
row-rv3t_uuqg_qxwh,0,W,112.13554,33.843427,20:35:34,3/3/2015,GPS16,7.771817,514.966797,N,0:35:34,1,34,0,FIXED,3/2/2015,0.00627
row-rwb5.gckg.yjrr,0,W,112.13554,33.843427,20:35:39,3/3/2015,GPS16,325.459962,514.979919,N,0:35:39,1,35,0,FIXED,3/2/2015,0.010829
row-thtt-bsn7.h652,0,W,112.13554,33.843427,20:35:44,3/3/2015,GPS16,336.47311,514.989441,N,0:35:44,1,36,0,FIXED,3/2/2015,0.01099
row-4zbq.4nzy.mq72,0,W,112.13554,33.843427,20:35:49,3/3/2015,GPS16,282.958458,514.996399,N,0:35:49,1,37,0,FIXED,3/2/2015,0.011056
row-5e4q.4hrv-m266,0,W,112.13554,33.843427,20:35:54,3/3/2015,GPS16,273.145177,515.007813,N,0:35:54,1,38,0,FIXED,3/2/2015,0.004462
row-6bns~vvfz.srn6,0,W,112.135541,33.843427,20:35:59,3/3/2015,GPS16,98.32765,515.019714,N,0:35:59,1,39,0,FIXED,3/2/2015,0.01089
row-rghf_c3ve-dgdb,0,W,112.13554,33.843427,20:36:04,3/3/2015,GPS16,84.165781,515.0271,N,0:36:04,1,40,0,FIXED,3/2/2015,0.004402
row-gsge_psz6.4xr8,0,W,112.13554,33.843427,20:36:09,3/3/2015,GPS16,110.676963,515.034729,N,0:36:09,1,41,0,FIXED,3/2/2015,0.007095
row-m2mr_4cfe.zumw,0,W,112.13554,33.843427,20:36:14,3/3/2015,GPS16,114.59521,515.040527,N,0:36:14,1,42,0,FIXED,3/2/2015,0.006531
row-4pbm~tfus_hwnp,0,W,112.13554,33.843427,20:36:19,3/3/2015,GPS16,353.307802,515.046021,N,0:36:19,1,43,0,FIXED,3/2/2015,0.010612
row-mnue_66w6.xccc,0,W,112.13554,33.843427,20:36:24,3/3/2015,GPS16,133.43851,515.044312,N,0:36:24,1,44,0,FIXED,3/2/2015,0.016452
row-jbv8-smms_ayyt,0,W,112.13554,33.843427,20:36:29,3/3/2015,GPS16,96.663398,515.043518,N,0:36:29,1,45,0,FIXED,3/2/2015,0.003729
row-sewj_xc2h_zumd,0,W,112.13554,33.843427,20:36:34,3/3/2015,GPS16,234.4155,515.044983,N,0:36:34,1,46,0,FIXED,3/2/2015,0.004877
row-2zwd.aj9e-g8nf,0,W,112.13554,33.843427,20:36:39,3/3/2015,GPS16,242.157093,515.046631,N,0:36:39,1,47,0,FIXED,3/2/2015,0.000534
row-m8wf-umak~a549,0,W,112.13554,33.843427,20:36:44,3/3/2015,GPS16,215.259946,515.044983,N,0:36:44,1,48,0,FIXED,3/2/2015,0.001795
row-9ijz_4yr5.pxtq,0,W,112.13554,33.843427,20:36:49,3/3/2015,GPS16,221.805758,515.050232,N,0:36:49,1,49,0,FIXED,3/2/2015,0.003638
row-y7in-rfy9~cmkg,0,W,112.13554,33.843427,20:36:54,3/3/2015,GPS16,187.360393,515.050293,N,0:36:54,1,50,0,FIXED,3/2/2015,0.007194
row-9xux-s5ng~gzqu,0,W,112.13554,33.843427,20:36:59,3/3/2015,GPS16,169.023975,515.055054,N,0:36:59,1,51,0,FIXED,3/2/2015,0.009681
row-fjgu_udnk~q4v3,0,W,112.13554,33.843427,20:37:04,3/3/2015,GPS16,234.034885,515.059753,N,0:37:04,1,52,0,FIXED,3/2/2015,0.00589
row-9x3c_3qts_b2qu,0,W,112.13554,33.843427,20:37:09,3/3/2015,GPS16,338.230371,515.06543,N,0:37:09,1,53,0,FIXED,3/2/2015,0.008141
row-bqyp.ez5i-qgb7,0,W,112.13554,33.843427,20:37:14,3/3/2015,GPS16,356.062279,515.068481,N,0:37:14,1,54,0,FIXED,3/2/2015,0.00659
row-euaq.3f3y.6fck,0,W,112.13554,33.843427,20:37:19,3/3/2015,GPS16,77.05509,515.071533,N,0:37:19,1,55,0,FIXED,3/2/2015,0.015656
row-gyqs.vvf7_4m8x,0,W,112.13554,33.843427,20:37:24,3/3/2015,GPS16,71.082955,515.071777,N,0:37:24,1,56,0,FIXED,3/2/2015,0.00824
row-9r8x~2mfy~64hj,0,W,112.13554,33.843427,20:37:29,3/3/2015,GPS16,74.181766,515.071045,N,0:37:29,1,57,0,FIXED,3/2/2015,0.006503
row-bhic.scqr~p4tw,0,W,112.13554,33.843427,20:37:34,3/3/2015,GPS16,31.530819,515.070801,N,0:37:34,1,58,0,FIXED,3/2/2015,0.00299
row-hq8w_hzm5_zxrw,0,W,112.13554,33.843427,20:37:39,3/3/2015,GPS16,100.968704,515.072083,N,0:37:39,1,59,0,FIXED,3/2/2015,0.027252
row-n7qs.4ex8~h45e,0,W,112.13554,33.843427,20:37:44,3/3/2015,GPS16,54.506602,515.075989,N,0:37:44,1,60,0,FIXED,3/2/2015,0.003987
row-6na3_66ki_m6t8,0,W,112.13554,33.843427,20:37:49,3/3/2015,GPS16,66.213579,515.07782,N,0:37:49,1,61,0,FIXED,3/2/2015,0.005538
row-dj3a.8p6v_r9wr,0,W,112.13554,33.843427,20:37:54,3/3/2015,GPS16,57.959196,515.082214,N,0:37:54,1,62,0,FIXED,3/2/2015,0.003133
row-mick~fzqy~f27z,0,W,112.13554,33.843427,20:37:59,3/3/2015,GPS16,43.322874,515.085327,N,0:37:59,1,63,0,FIXED,3/2/2015,0.008643
row-m272.vwqj-m575,0,W,112.13554,33.843427,20:38:04,3/3/2015,GPS16,28.974631,515.085815,N,0:38:04,1,64,0,FIXED,3/2/2015,0.005493
row-i3sz.qv38.q3th,0,W,112.13554,33.843427,20:38:09,3/3/2015,GPS16,345.327918,515.088257,N,0:38:09,1,65,0,FIXED,3/2/2015,0.0098
row-zg59_uhpb~9tun,0,W,112.13554,33.843427,20:38:14,3/3/2015,GPS16,355.049417,515.090332,N,0:38:14,1,66,0,FIXED,3/2/2015,0.001617
row-k7wb-kqkv.dmr4,0,W,112.13554,33.843427,20:38:19,3/3/2015,GPS16,24.009096,515.092224,N,0:38:19,1,67,0,FIXED,3/2/2015,0.004249
row-j9ev.xggp~ej62,0,W,112.13554,33.843427,20:38:24,3/3/2015,GPS16,17.095954,515.095154,N,0:38:24,1,68,0,FIXED,3/2/2015,0.011641
row-k334_zibz.3xrc,0,W,112.13554,33.843427,20:38:29,3/3/2015,GPS16,106.187866,515.096252,N,0:38:29,1,69,0,FIXED,3/2/2015,0.006074
row-wp67~q3ne.xt3h,0,W,112.13554,33.843427,20:38:34,3/3/2015,GPS16,70.667516,515.094543,N,0:38:34,1,70,0,FIXED,3/2/2015,0.004376
row-dhwf~sjbs-as5a,0,W,112.13554,33.843427,20:38:39,3/3/2015,GPS16,74.269723,515.097839,N,0:38:39,1,71,0,FIXED,3/2/2015,0.000153
row-fm2t-k3ty-p6mt,0,W,112.13554,33.843427,20:38:44,3/3/2015,GPS16,52.633554,515.105225,N,0:38:44,1,72,0,FIXED,3/2/2015,0.011468
row-8t4m~tjgf~te5z,0,W,112.13554,33.843427,20:38:49,3/3/2015,GPS16,101.407253,515.107361,N,0:38:49,1,73,0,FIXED,3/2/2015,0.012519
row-q7d6.vw65_484f,0,W,112.13554,33.843427,20:38:54,3/3/2015,GPS16,34.507909,515.109619,N,0:38:54,1,74,0,FIXED,3/2/2015,0.008857
row-cg4s-b2sh_fptj,0,W,112.13554,33.843427,20:38:59,3/3/2015,GPS16,33.001417,515.114258,N,0:38:59,1,75,0,FIXED,3/2/2015,0.004734
row-7xzm.inv8-z6x4,0,W,112.13554,33.843427,20:39:04,3/3/2015,GPS16,14.857064,515.120911,N,0:39:04,1,76,0,FIXED,3/2/2015,0.009471
row-9mub-twqm.4azn,0,W,112.13554,33.843427,20:39:09,3/3/2015,GPS16,346.93776,515.13031,N,0:39:09,1,77,0,FIXED,3/2/2015,0.002603
row-ybc5~9kbp.aaec,0,W,112.13554,33.843427,20:39:14,3/3/2015,GPS16,28.252442,515.139404,N,0:39:14,1,78,0,FIXED,3/2/2015,0.010652
row-ddps_gt28_36d6,0,W,112.13554,33.843427,20:39:19,3/3/2015,GPS16,6.59941,515.147522,N,0:39:19,1,79,0,FIXED,3/2/2015,0.007444
row-mvze~xga8-crhf,0,W,112.13554,33.843427,20:39:24,3/3/2015,GPS16,25.977012,515.155151,N,0:39:24,1,80,0,FIXED,3/2/2015,0.013423
row-pyi7_kqep~5dap,0,W,112.13554,33.843427,20:39:29,3/3/2015,GPS16,18.150031,515.162903,N,0:39:29,1,81,0,FIXED,3/2/2015,0.008248
row-3w4d.4jt8_g2hv,0,W,112.135539,33.843428,20:39:34,3/3/2015,GPS16,355.306382,515.174561,N,0:39:34,1,82,0,FIXED,3/2/2015,0.015765
row-22nr_aqtd.q3jn,0,W,112.135539,33.843428,20:39:39,3/3/2015,GPS16,331.918858,515.185913,N,0:39:39,1,83,0,FIXED,3/2/2015,0.004497
row-3vfy-khwd_7mnu,0,W,112.13554,33.843428,20:39:44,3/3/2015,GPS16,317.159559,515.199524,N,0:39:44,1,84,0,FIXED,3/2/2015,0.009666
row-hez3~9hcs-ri66,0,W,112.13554,33.843428,20:39:49,3/3/2015,GPS16,17.490835,515.212769,N,0:39:49,1,85,0,FIXED,3/2/2015,0.008199
row-spzc~nnfr_pq8y,0,W,112.13554,33.843428,20:39:54,3/3/2015,GPS16,117.157841,515.229309,N,0:39:54,1,86,0,FIXED,3/2/2015,0.002611
row-kf55.a95n.n27u,0,W,112.13554,33.843428,20:39:59,3/3/2015,GPS16,109.831539,515.238281,N,0:39:59,1,87,0,FIXED,3/2/2015,0.01533
row-b7ha_pcbc~tv58,0,W,112.135539,33.843428,20:40:04,3/3/2015,GPS16,118.166563,515.250244,N,0:40:04,1,88,0,FIXED,3/2/2015,0.003957
row-899b~bxxi.scq8,0,W,112.135539,33.843428,20:40:09,3/3/2015,GPS16,89.94284,515.258362,N,0:40:09,1,89,0,FIXED,3/2/2015,0.003705
row-eaht-btqk.7je9,0,W,112.135539,33.843428,20:40:14,3/3/2015,GPS16,261.767397,515.269165,N,0:40:14,1,90,0,FIXED,3/2/2015,0.438968
row-6wwu_xznp_eruv,0,W,112.135587,33.843422,20:40:19,3/3/2015,GPS16,338.943033,515.377686,N,0:40:19,1,91,0,FIXED,3/2/2015,2.765069
row-isj3-2x2t-y5np,0,W,112.135611,33.843475,20:40:24,3/3/2015,GPS16,350.086887,515.672546,N,0:40:24,1,92,0,FIXED,3/2/2015,12.926126
row-ht9w.xj27~bn3q,0,W,112.135656,33.84369,20:40:29,3/3/2015,GPS16,356.357129,515.976868,N,0:40:29,1,93,0,FIXED,3/2/2015,14.49745
row-rp7n-66c4~kjfy,0,W,112.135671,33.843874,20:40:34,3/3/2015,GPS16,343.426994,516.064148,N,0:40:34,1,94,0,FIXED,3/2/2015,20.160313
row-2ytm.qta5-bb2b,0,W,112.135779,33.844177,20:40:39,3/3/2015,GPS16,339.448092,516.171814,N,0:40:39,1,95,0,FIXED,3/2/2015,26.137691
row-hfsm-seqi-tgri,0,W,112.135927,33.844504,20:40:44,3/3/2015,GPS16,2.080691,516.632141,N,0:40:44,1,96,0,FIXED,3/2/2015,23.853958
row-cvfd-qzcf_7tr4,0,W,112.135919,33.84468,20:40:49,3/3/2015,GPS16,60.612599,516.821167,N,0:40:49,1,97,0,FIXED,3/2/2015,13.616927
row-uqbr.5wwd.k4m5,0,W,112.135806,33.844733,20:40:54,3/3/2015,GPS16,35.922853,516.790405,N,0:40:54,1,98,0,FIXED,3/2/2015,10.179677
row-8y4r_i76b-9cqa,0,W,112.135665,33.844895,20:40:59,3/3/2015,GPS16,328.49347,517.006226,N,0:40:59,1,99,0,FIXED,3/2/2015,20.995947
row-dwq4_rn79-a9xm,0,W,112.135913,33.84523,20:41:04,3/3/2015,GPS16,324.072722,516.561462,N,0:41:04,1,100,0,FIXED,3/2/2015,39.467506
